         414664 function calls (404841 primitive calls) in 0.342 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
       18    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
      111    0.000    0.000    0.000    0.000 __init__.py:526(_nonblank)
       32    0.000    0.000    0.000    0.000 random.py:256(choice)
        1    0.000    0.000    0.002    0.002 plistlib.py:47(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        1    0.000    0.000    0.002    0.002 zipfile.py:5(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:24(<module>)
       17    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        2    0.000    0.000    0.007    0.003 context.py:1(<module>)
      168    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 connection.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:334(<listcomp>)
        1    0.000    0.000    0.002    0.002 _linprog.py:16(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:48(<module>)
        1    0.000    0.000    0.013    0.013 _basic.py:5(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       21    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4875(_makeTags)
        1    0.000    0.000    0.000    0.000 pathlib.py:1(<module>)
       98    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
       38    0.000    0.000    0.000    0.000 typing.py:1202(_alias)
        6    0.000    0.000    0.000    0.000 inspect.py:1799(_signature_bound_method)
      222    0.000    0.000    0.000    0.000 inspect.py:2517(name)
       19    0.000    0.000    0.000    0.000 inspect.py:2551(__str__)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f894418f050}
       17    0.000    0.000    0.001    0.000 __init__.py:2349(normalize_path)
       33    0.000    0.000    0.000    0.000 __init__.py:2389(_is_unpacked_egg)
       32    0.000    0.000    0.000    0.000 process.py:184(name)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       26    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
        7    0.000    0.000    0.002    0.000 enum.py:638(_convert)
       13    0.000    0.000    0.000    0.000 enum.py:835(__or__)
       25    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
       57    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       50    0.000    0.000    0.000    0.000 util.py:48(debug)
        1    0.000    0.000    0.000    0.000 constants.py:8(<module>)
        6    0.000    0.000    0.000    0.000 dataclasses.py:476(_init_fn)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
       30    0.000    0.000    0.000    0.000 builder.py:656(<lambda>)
        1    0.000    0.000    0.003    0.003 __init__.py:125(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.055    0.055 recipeorganizer.py:22(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:340(_sanity_check)
       12    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
      211    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      288    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       35    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
       19    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
       57    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 glob.py:39(_iglob)
        1    0.000    0.000    0.000    0.000 pool.py:375(_map_async)
        1    0.000    0.000    0.001    0.001 nonlin.py:106(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:152(<module>)
      121    0.000    0.000    0.000    0.000 dataclasses.py:378(<genexpr>)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
       15    0.000    0.000    0.000    0.000 arrayprint.py:468(wrapper)
        4    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
       41    0.000    0.000    0.000    0.000 pyparsing.py:209(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
       11    0.000    0.000    0.000    0.000 typing.py:535(__init__)
       25    0.000    0.000    0.000    0.000 inspect.py:1192(formatannotation)
        1    0.000    0.000    0.001    0.001 hashlib.py:54(<module>)
        1    0.000    0.000    0.007    0.007 specifiers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:503(extend_path)
       71    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      134    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       14    0.000    0.000    0.000    0.000 popen_fork.py:61(terminate)
        1    0.000    0.000    0.000    0.000 glob.py:79(_glob1)
        1    0.000    0.000    0.009    0.009 __init__.py:94(<module>)
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
        1    0.000    0.000    0.001    0.001 minimize_trustregion_constr.py:1(<module>)
        9    0.000    0.000    0.001    0.000 decorator.py:200(decorate)
        1    0.000    0.000    0.000    0.000 decorator.py:33(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:109(<module>)
        1    0.000    0.000    0.002    0.002 iterative.py:1(<module>)
       18    0.000    0.000    0.000    0.000 dataclasses.py:331(_tuple_str)
        6    0.000    0.000    0.001    0.000 dataclasses.py:537(_frozen_get_del_attr)
       25    0.000    0.000    0.000    0.000 _util.py:387(<genexpr>)
        1    0.000    0.000    0.003    0.003 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:442(_construct_lookups)
        8    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
       19    0.000    0.000    0.000    0.000 pyparsing.py:4017(__str__)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
        4    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
      120    0.000    0.000    0.000    0.000 process.py:90(_check_closed)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:877(_decompose)
        5    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
        1    0.000    0.000    0.000    0.000 synchronize.py:11(<module>)
        8    0.000    0.000    0.000    0.000 nonlin.py:216(_set_doc)
        1    0.000    0.000    0.003    0.003 _minimize.py:8(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dataclasses.py:1(<module>)
        6    0.000    0.000    0.000    0.000 dataclasses.py:526(_repr_fn)
       26    0.000    0.000    0.000    0.000 core.py:6750(__init__)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
        1    0.000    0.000    0.002    0.002 _add_newdocs_scalars.py:5(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       75    0.000    0.000    0.000    0.000 overrides.py:122(decorator)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
       12    0.000    0.000    0.002    0.000 pyparsing.py:4251(__init__)
        1    0.000    0.000    0.000    0.000 _manylinux.py:1(<module>)
        1    0.000    0.000    0.002    0.002 resources.py:1(<module>)
       62    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
       15    0.000    0.000    0.000    0.000 __init__.py:1575(_parents)
        1    0.000    0.000    0.004    0.004 reduction.py:10(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:834(start)
        3    0.000    0.000    0.000    0.000 enum.py:895(<listcomp>)
        8    0.000    0.000    0.000    0.000 re.py:254(escape)
       18    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        1    0.000    0.000    0.000    0.000 slsqp.py:14(<module>)
        1    0.000    0.000    0.001    0.001 matfuncs.py:5(<module>)
        7    0.000    0.000    0.000    0.000 _util.py:372(<listcomp>)
        1    0.000    0.000    0.001    0.001 basic.py:7(<module>)
        3    0.000    0.000    0.000    0.000 blas.py:325(_get_funcs)
       48    0.000    0.000    0.000    0.000 lapack.py:876(backtickrepl)
      102    0.000    0.000    0.000    0.000 builder.py:388(__init__)
        2    0.000    0.000    0.000    0.000 core.py:2974(__array_finalize__)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
        1    0.000    0.000    0.002    0.002 __init__.py:115(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:74(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       29    0.000    0.000    0.000    0.000 pyparsing.py:411(__getitem__)
       48    0.000    0.000    0.000    0.000 typing.py:634(<genexpr>)
      118    0.000    0.000    0.000    0.000 typing.py:660(__eq__)
       19    0.000    0.000    0.000    0.000 __init__.py:57(find_spec)
        1    0.000    0.000    0.006    0.006 feedparser.py:20(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:681(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:1024(_Unpickler)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
        4    0.000    0.000    0.000    0.000 context.py:64(Lock)
      102    0.000    0.000    0.000    0.000 re.py:172(match)
        9    0.000    0.000    0.000    0.000 enum.py:157(<dictcomp>)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
       18    0.000    0.000    0.001    0.000 posixpath.py:391(realpath)
        5    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       14    0.000    0.000    0.000    0.000 {built-in method posix.kill}
        1    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
        1    0.000    0.000    0.000    0.000 pool.py:631(__init__)
        1    0.000    0.000    0.000    0.000 _linprog_rs.py:17(<module>)
        1    0.000    0.000    0.001    0.001 _linprog_ip.py:18(<module>)
        7    0.000    0.000    0.000    0.000 _threadsafety.py:25(__init__)
        1    0.000    0.000    0.000    0.000 version.py:42(<listcomp>)
       19    0.000    0.000    0.000    0.000 dataclasses.py:403(_field_init)
        1    0.000    0.000    0.000    0.000 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp.py:16(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 builder.py:648(__wrapSrFitOperators)
       10    0.000    0.000    0.000    0.000 extras.py:239(getdoc)
        1    0.000    0.000    0.002    0.002 __init__.py:71(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        9    0.000    0.000    0.000    0.000 getlimits.py:514(__init__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1534(_array_str_implementation)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
       75    0.000    0.000    0.000    0.000 overrides.py:111(set_module)
       23    0.000    0.000    0.001    0.000 overrides.py:223(decorator)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1926(makeOptionalList)
      139    0.000    0.000    0.000    0.000 pyparsing.py:3543(<genexpr>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
        3    0.000    0.000    0.000    0.000 typing.py:1366(__new__)
        1    0.000    0.000    0.000    0.000 _compat.py:3(<module>)
       13    0.000    0.000    0.000    0.000 inspect.py:2829(from_callable)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
       32    0.000    0.000    0.000    0.000 random.py:224(_randbelow)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 subprocess.py:42(<module>)
        1    0.000    0.000    0.000    0.000 reduction.py:48(dumps)
        1    0.000    0.000    0.025    0.025 context.py:114(Pool)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.000    0.000 sre_parse.py:945(parse_template)
       14    0.000    0.000    0.000    0.000 re.py:207(split)
        9    0.000    0.000    0.000    0.000 enum.py:64(__init__)
        5    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       28    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       35    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:4(<module>)
        1    0.000    0.000    0.000    0.000 cobyla.py:11(<module>)
        1    0.000    0.000    0.000    0.000 matfuncs.py:3(<module>)
       30    0.000    0.000    0.000    0.000 dataclasses.py:739(_set_new_attribute)
        1    0.000    0.000    0.000    0.000 construct.py:2(<module>)
       19    0.000    0.000    0.000    0.000 dataclasses.py:309(field)
        1    0.000    0.000    0.000    0.000 decomp_schur.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:351(TestCase)
       46    0.000    0.000    0.000    0.000 six.py:110(__init__)
        1    0.000    0.000    0.000    0.000 arraysetops.py:16(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
       30    0.000    0.000    0.000    0.000 getlimits.py:40(<lambda>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
      188    0.000    0.000    0.000    0.000 pyparsing.py:2656(<genexpr>)
    24/10    0.000    0.000    0.000    0.000 pyparsing.py:3737(parseImpl)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
        1    0.000    0.000    0.000    0.000 _musllinux.py:5(<module>)
       95    0.000    0.000    0.000    0.000 pyparsing.py:203(<genexpr>)
        1    0.000    0.000    0.000    0.000 dok.py:1(<module>)
        1    0.000    0.000    0.001    0.001 compressed.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:1342(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 typing.py:1490(IO)
       19    0.000    0.000    0.000    0.000 __init__.py:24(_module_matches_namespace)
        6    0.000    0.000    0.013    0.002 __init__.py:29(load_module)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 fnmatch.py:48(filter)
        8    0.000    0.000    0.000    0.000 __init__.py:2833(from_filename)
        1    0.000    0.000    0.000    0.000 version.py:40(<listcomp>)
        1    0.000    0.000    0.086    0.086 version.py:23(<module>)
       32    0.000    0.000    0.000    0.000 process.py:215(exitcode)
        4    0.000    0.000    0.000    0.000 threading.py:534(wait)
        8    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        7    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        6    0.000    0.000    0.000    0.000 os.py:676(__getitem__)
       49    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 queues.py:10(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:10(<module>)
        1    0.000    0.000    0.001    0.001 _linprog_highs.py:14(<module>)
        7    0.000    0.000    0.000    0.000 nonlin.py:1622(<listcomp>)
        1    0.000    0.000    0.011    0.011 _numdiff.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:425(<listcomp>)
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6439(__new__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:109(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:81(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:77(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:77(<module>)
        7    0.000    0.000    0.000    0.000 utils.py:144(deprecate)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:5(<module>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:515(_scalar_type_key)
       49    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        1    0.000    0.000    0.001    0.001 overrides.py:1(<module>)
        4    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 recipeorganizer.py:48(RecipeContainer)
      4/3    0.000    0.000    0.000    0.000 pyparsing.py:3859(parseImpl)
      6/5    0.000    0.000    0.000    0.000 pyparsing.py:4003(parseImpl)
        1    0.000    0.000    0.000    0.000 sputils.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:119(_WindowsFlavour)
        4    0.000    0.000    0.000    0.000 typing.py:445(__init__)
        1    0.000    0.000    0.000    0.000 ntpath.py:6(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
       18    0.000    0.000    0.000    0.000 inspect.py:1707(_signature_get_user_defined_method)
        1    0.000    0.000    0.002    0.002 platform.py:780(_syscmd_uname)
        2    0.000    0.000    0.000    0.000 platform.py:1150(_sys_version)
        1    0.000    0.000    0.000    0.000 lzma.py:9(<module>)
        1    0.000    0.000    0.057    0.057 __init__.py:29(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:350(get_provider)
        1    0.000    0.000    0.002    0.002 version.py:257(Version)
        2    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        4    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
      106    0.000    0.000    0.000    0.000 __init__.py:89(<lambda>)
      145    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
       47    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        8    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       19    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.004    0.002 __init__.py:18(<module>)
        1    0.000    0.000    0.000    0.000 _interpolative_backend.py:32(<module>)
        1    0.000    0.000    0.000    0.000 least_squares.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _root.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _constraints.py:1(<module>)
        1    0.000    0.000    0.019    0.019 characteristicfunctions.py:26(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 operators.py:26(<module>)
        1    0.000    0.000    0.003    0.003 parameter.py:19(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:201(<module>)
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
       13    0.000    0.000    0.000    0.000 _internal.py:863(npy_ctypes_check)
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
        2    0.000    0.000    0.000    0.000 getlimits.py:237(_get_machar)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:131(geterr)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:130(_add_integer_aliases)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1103(ParserElement)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3098(__init__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4757(<lambda>)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4781(<genexpr>)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
        1    0.000    0.000    0.002    0.002 csr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compressed.py:24(_cs_matrix)
        1    0.000    0.000    0.000    0.000 recipes.py:9(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:241(_tp_cache)
       44    0.000    0.000    0.000    0.000 typing.py:777(<genexpr>)
        4    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
       19    0.000    0.000    0.000    0.000 inspect.py:504(_is_wrapper)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:2322(file_ns_handler)
        5    0.000    0.000    0.002    0.000 process.py:133(join)
        1    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
        5    0.000    0.000    0.000    0.000 threading.py:499(__init__)
        2    0.000    0.000    0.001    0.001 context.py:109(SimpleQueue)
       33    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
        9    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
        5    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      100    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        4    0.000    0.000    0.000    0.000 synchronize.py:114(_make_name)
       14    0.000    0.000    0.000    0.000 popen_fork.py:51(_send_signal)
        2    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.103    0.103 pool.py:562(_help_stuff_finish)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.001    0.001 _linprog_util.py:3(<module>)
        1    0.000    0.000    0.000    0.000 trf.py:95(<module>)
        1    0.000    0.000    0.000    0.000 common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lsq_linear.py:1(<module>)
        1    0.000    0.000    0.000    0.000 trf_linear.py:2(<module>)
        1    0.000    0.000    0.000    0.000 bvls.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _spectral.py:3(<module>)
        1    0.000    0.000    0.000    0.000 tnc.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _ellip_harm.py:1(<module>)
       19    0.000    0.000    0.000    0.000 dataclasses.py:233(__init__)
       18    0.000    0.000    0.000    0.000 dataclasses.py:340(<listcomp>)
       19    0.000    0.000    0.000    0.000 dataclasses.py:391(_field_assign)
        4    0.000    0.000    0.000    0.000 _pep440.py:437(_cmpkey)
        1    0.000    0.000    0.000    0.000 fitrecipe.py:48(FitRecipe)
       11    0.000    0.000    0.000    0.000 observable.py:84(__init__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:77(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        1    0.000    0.000    0.000    0.000 py3k.py:12(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:497(cast)
        1    0.000    0.000    0.000    0.000 recipeorganizer.py:349(RecipeOrganizer)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        3    0.000    0.000    0.001    0.000 pyparsing.py:1608(parseString)
       17    0.000    0.000    0.000    0.000 pyparsing.py:2431(parseImpl)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2751(charsAsStr)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
       28    0.000    0.000    0.000    0.000 pyparsing.py:458(__bool__)
        1    0.000    0.000    0.000    0.000 lil.py:2(<module>)
        1    0.000    0.000    0.000    0.000 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        2    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:620(PurePath)
       23    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
        4    0.000    0.000    0.000    0.000 typing.py:824(__class_getitem__)
       16    0.000    0.000    0.000    0.000 inspect.py:292(isabstract)
       13    0.000    0.000    0.000    0.000 inspect.py:3081(signature)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.006    0.006 parser.py:5(<module>)
       30    0.000    0.000    0.000    0.000 __init__.py:3138(_always_object)
       14    0.000    0.000    0.000    0.000 process.py:119(terminate)
       26    0.000    0.000    0.000    0.000 traceback.py:272(__getitem__)
       20    0.000    0.000    0.000    0.000 tokenize.py:107(group)
        1    0.000    0.000    0.000    0.000 tokenize.py:443(open)
        1    0.000    0.000    0.000    0.000 specifiers.py:90(_IndividualSpecifier)
        1    0.000    0.000    0.000    0.000 specifiers.py:227(LegacySpecifier)
        7    0.000    0.000    0.000    0.000 specifiers.py:287(_require_version_compare)
        1    0.000    0.000    0.004    0.004 specifiers.py:299(Specifier)
        1    0.000    0.000    0.000    0.000 specifiers.py:620(SpecifierSet)
       99    0.000    0.000    0.000    0.000 enum.py:664(<lambda>)
       19    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
        4    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
    80/33    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(_get_parent_path)
      106    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
       33    0.000    0.000    0.000    0.000 {built-in method posix.WEXITSTATUS}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.000    0.000 queues.py:330(__init__)
        1    0.000    0.000    0.000    0.000 queues.py:356(put)
        1    0.000    0.000    0.000    0.000 projections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 equality_constrained_sqp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
       11    0.000    0.000    0.000    0.000 decorator.py:152(<listcomp>)
        2    0.000    0.000    0.000    0.000 decorator.py:215(decorator)
        1    0.000    0.000    0.001    0.001 __init__.py:52(<module>)
        1    0.000    0.000    0.000    0.000 linsolve.py:1(<module>)
        3    0.000    0.000    0.002    0.001 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 linesearch.py:13(<module>)
        1    0.000    0.000    0.000    0.000 interface.py:41(<module>)
        1    0.000    0.000    0.000    0.000 powderpattern.py:19(<module>)
        6    0.000    0.000    0.000    0.000 dataclasses.py:849(<listcomp>)
        6    0.000    0.000    0.000    0.000 dataclasses.py:345(_recursive_repr)
        6    0.000    0.000    0.000    0.000 dataclasses.py:494(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
        7    0.000    0.000    0.000    0.000 _util.py:377(<listcomp>)
