         414664 function calls (404841 primitive calls) in 0.342 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4821    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       57    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
      286    0.001    0.000    0.002    0.000 overrides.py:89(verify_matching_signatures)
  548/529    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     5808    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      304    0.001    0.000    0.001    0.000 version.py:293(__str__)
     1339    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     1187    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     3248    0.000    0.000    0.001    0.000 posixpath.py:41(_get_sep)
      268    0.000    0.000    0.001    0.000 __init__.py:681(add)
      445    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
     2220    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        9    0.000    0.000    0.001    0.000 enum.py:140(__new__)
     5733    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     1428    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       12    0.000    0.000    0.002    0.000 pyparsing.py:2653(__init__)
      536    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      400    0.000    0.000    0.001    0.000 posixpath.py:154(dirname)
      981    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
       21    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      890    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     3024    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      572    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      316    0.000    0.000    0.011    0.000 overrides.py:183(decorator)
     2279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      335    0.000    0.000    0.000    0.000 pyparsing.py:1144(__init__)
      548    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      926    0.000    0.000    0.001    0.000 typing.py:709(__setattr__)
      272    0.000    0.000    0.003    0.000 __init__.py:2073(<genexpr>)
      528    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
     2279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      445    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.001    0.001 codata.py:1510(parse_constants_2018toXXXX)
      456    0.000    0.000    0.002    0.000 deprecation.py:9(wrap)
      673    0.000    0.000    0.001    0.000 {built-in method builtins.any}
     1001    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     2925    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1335    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      304    0.000    0.000    0.004    0.000 __init__.py:1323(safe_version)
      572    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      302    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      616    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
     3333    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 distance.py:72(<module>)
       28    0.000    0.000    0.001    0.000 inspect.py:613(cleandoc)
     1222    0.000    0.000    0.002    0.000 __init__.py:2065(<genexpr>)
      804    0.000    0.000    0.000    0.000 __init__.py:2643(key)
      288    0.000    0.000    0.029    0.000 __init__.py:2052(find_on_path)
     2066    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       32    0.000    0.000    0.001    0.000 process.py:53(_cleanup)
      107    0.000    0.000    0.022    0.000 sre_compile.py:759(compile)
     1190    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     4176    0.000    0.000    0.000    0.000 version.py:393(_parse_letter_version)
      708    0.000    0.000    0.002    0.000 genericpath.py:39(isdir)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
      471    0.000    0.000    0.001    0.000 copy.py:269(_reconstruct)
   432/42    0.000    0.000    0.167    0.004 {built-in method builtins.__import__}
      378    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      667    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
     4009    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       44    0.000    0.000    0.000    0.000 {built-in method io.open}
      528    0.000    0.000    0.001    0.000 posixpath.py:121(splitext)
      260    0.000    0.000    0.009    0.000 __init__.py:2041(_by_version)
     1339    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      292    0.000    0.000    0.001    0.000 function_base.py:475(add_newdoc)
      280    0.000    0.000    0.004    0.000 __init__.py:2771(_get_metadata)
      445    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       64    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      560    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
